iter	Accuracy	MultiClass
487	0.6131449368	1.547160996
488	0.6137871976	1.545733231
489	0.6142153714	1.543941038
490	0.6146435453	1.542137123
491	0.6159280668	1.540580399
492	0.615499893	1.539372438
493	0.615499893	1.537782598
494	0.6163562406	1.535411753
495	0.6165703276	1.534328224
496	0.6163562406	1.533122193
497	0.618068936	1.531433133
498	0.618068936	1.531168988
499	0.6187111967	1.530318551
500	0.6191393706	1.52908382
501	0.6182830229	1.527720464
502	0.6178548491	1.525912582
503	0.6187111967	1.524286097
504	0.6187111967	1.522910609
505	0.6202098052	1.52147665
506	0.6197816313	1.520122683
507	0.6217084136	1.518623423
508	0.6221365875	1.517136574
509	0.6225647613	1.515542092
510	0.6232070221	1.514058769
511	0.6232070221	1.513285426
512	0.6238492828	1.511540408
513	0.6240633697	1.510276828
514	0.6244915436	1.508639654
515	0.6249197174	1.50774642
516	0.6244915436	1.506330446
517	0.6255619782	1.504812589
518	0.6251338043	1.504100011
519	0.6247056305	1.502609705
520	0.6251338043	1.50096658
521	0.6253478912	1.49997374
522	0.6257760651	1.498668895
523	0.6262042389	1.497059634
524	0.6279169343	1.495921085
525	0.6277028474	1.494612636
526	0.6281310212	1.492762763
527	0.6283451081	1.491786071
528	0.6292014558	1.490501705
529	0.6296296296	1.488836793
530	0.6298437165	1.487437573
531	0.6304859773	1.486306645
532	0.6300578035	1.484838056
533	0.6307000642	1.484050521
534	0.6315564119	1.483046222
535	0.6309141511	1.481702349
536	0.631342325	1.48061134
537	0.6309141511	1.479758157
538	0.6319845857	1.478449241
539	0.6326268465	1.477208122
540	0.6328409334	1.476041716
541	0.6332691073	1.475067954
542	0.6330550203	1.473986528
543	0.6354099765	1.472636744
544	0.6354099765	1.471556396
545	0.6351958895	1.470509297
546	0.6349818026	1.469459751
547	0.6358381503	1.468285661
548	0.636694498	1.467185608
549	0.6375508456	1.465400531
550	0.6381931064	1.463874595
551	0.6384071933	1.46277733
552	0.6390494541	1.461515704
553	0.6394776279	1.460147142
554	0.6388353672	1.458795533
555	0.6388353672	1.457431606
556	0.6396917148	1.456365674
557	0.6388353672	1.455318859
558	0.639263541	1.45420379
559	0.6390494541	1.453481661
560	0.6396917148	1.45198351
561	0.6399058018	1.450450817
562	0.6409762364	1.448775046
563	0.6414044102	1.447498108
564	0.6414044102	1.445867319
565	0.6414044102	1.44402844
566	0.6416184971	1.442268012
567	0.6429030186	1.440844355
568	0.6431171055	1.439837902
569	0.6439734532	1.438138513
570	0.6439734532	1.437624862
571	0.644615714	1.436422129
572	0.6456861486	1.435148183
573	0.6463284093	1.434222375
574	0.6461143224	1.433408462
575	0.6459002355	1.432619898
576	0.6467565832	1.430869367
577	0.6467565832	1.430563641
578	0.647184757	1.429667097
579	0.6478270178	1.427988675
580	0.6480411047	1.42673936
581	0.6482551916	1.425882543
582	0.6484692785	1.424793919
583	0.6491115393	1.423900095
584	0.6493256262	1.422782119
585	0.6482551916	1.422215998
586	0.6491115393	1.420587457
587	0.6493256262	1.41942467
588	0.649967887	1.418058395
589	0.649967887	1.417052666
590	0.6506101477	1.41580313
591	0.6510383216	1.414686182
592	0.6510383216	1.413961215
593	0.6529651038	1.412866472
594	0.6540355384	1.411203907
595	0.6544637123	1.410483104
596	0.6544637123	1.409177805
597	0.6538214515	1.408199787
598	0.6540355384	1.407197093
599	0.6544637123	1.406247162
600	0.6546777992	1.405423477
601	0.6548918861	1.405030675
602	0.6548918861	1.403337001
603	0.6559623207	1.401989676
604	0.6555341469	1.400785145
605	0.6563904945	1.399344417
606	0.6561764076	1.39812783
607	0.6563904945	1.397009914
608	0.6574609291	1.396208667
609	0.657889103	1.395757117
610	0.6576750161	1.394365973
611	0.6581031899	1.393357423
612	0.657889103	1.392699183
613	0.6581031899	1.391572338
614	0.6585313637	1.390820023
615	0.6589595376	1.390278013
616	0.6587454507	1.389416721
617	0.6583172768	1.388035753
618	0.6593877114	1.387263753
619	0.6596017983	1.386523199
620	0.6602440591	1.385404666
621	0.660458146	1.384340138
622	0.6608863198	1.382900973
623	0.6600299722	1.382151493
624	0.6608863198	1.380569296
625	0.6608863198	1.380077648
626	0.6606722329	1.378898706
627	0.6606722329	1.378123984
628	0.6608863198	1.37718274
629	0.6613144937	1.376117157
630	0.6611004068	1.375009254
631	0.6619567544	1.373670114
632	0.6619567544	1.372651075
633	0.6625990152	1.370926596
634	0.6634553629	1.369408552
635	0.6636694498	1.368529494
636	0.6645257975	1.367345324
637	0.6645257975	1.366884371
638	0.6645257975	1.36583583
639	0.6645257975	1.364906887
640	0.6649539713	1.363671457
641	0.6643117106	1.362592137
642	0.6649539713	1.361409821
643	0.6649539713	1.360082379
644	0.6655962321	1.359273752
645	0.6653821452	1.358280069
646	0.6664525797	1.357104926
647	0.6662384928	1.356286733
648	0.6662384928	1.355182177
649	0.6662384928	1.353369625
650	0.6666666667	1.351857678
651	0.6666666667	1.35129658
652	0.6664525797	1.350826054
653	0.6668807536	1.349659325
654	0.6662384928	1.348286299
655	0.6666666667	1.346681175
656	0.6668807536	1.346128266
657	0.6673089274	1.344936462
658	0.6673089274	1.344611643
659	0.6675230143	1.343418786
660	0.6668807536	1.343015516
661	0.6675230143	1.341828164
662	0.668379362	1.34098415
663	0.6681652751	1.340177515
664	0.6694497966	1.338772754
665	0.6703061443	1.337716825
666	0.6707343181	1.336811038
667	0.6705202312	1.335755382
668	0.6713765789	1.33460647
669	0.6703061443	1.333755518
670	0.671162492	1.332201266
671	0.6713765789	1.331072497
672	0.6718047527	1.330282199
673	0.6715906658	1.329602852
674	0.6724470135	1.327882009
675	0.6726611004	1.326463135
676	0.6739456219	1.325619496
677	0.6735174481	1.325169531
678	0.6741597088	1.324454261
679	0.673731535	1.323780091
680	0.6739456219	1.323031887
681	0.6739456219	1.322011557
682	0.6739456219	1.321097323
683	0.6741597088	1.32036546
684	0.6741597088	1.319296917
685	0.6741597088	1.318591937
686	0.6739456219	1.317531724
687	0.6752301434	1.316496881
688	0.6750160565	1.315679925
689	0.6748019696	1.314863657
690	0.6752301434	1.313830969
691	0.6758724042	1.312587576
692	0.6758724042	1.312221911
693	0.676300578	1.310853574
